title,filename,category,folder,authorship,content_type,description,size_mb,confidence,source_path,dest_path,status
Everyman's Superpower,Everyman's Superpower (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A faith-based book that appears to explore spiritual gifts, redemption, and personal transformation through a Christian lens, connecting biblical principles to everyday life and recovery.",9.83,HIGH,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Documents/Everyman's Superpower (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Everyman's Superpower (2019_07_29 16_12_18 UTC).pdf,COPIED
Final Accounting,GP - Final Accounting  (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A faith-based narrative exploring themes of divine judgment, redemption, and personal accountability through what appears to be a metaphorical or allegorical story involving a final reckoning before G",2.43,HIGH,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Delano Folder/Garrett's Folder/GP - Final Accounting  (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/GP - Final Accounting  (2019_07_29 16_12_18 UTC).pdf,COPIED
From Ludicrous to Miraculous: 31 Devotionals to get you to the Other Side,LUDICROUSWorkbookCOMPLETE.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A 31-day devotional workbook that combines Christian faith teachings with personal transformation, using biblical stories and practical exercises to help readers overcome challenges and experience mir",15.35,HIGH,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/LUDICROUSWorkbookCOMPLETE.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/LUDICROUSWorkbookCOMPLETE.pdf,COPIED
Fusion: The Synergy of Images and Words,Fusion Title - 8-19-20.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,A faith-based book exploring how God uses the combination of visual imagery and written/spoken words to create powerful transformative experiences in people's lives. The book examines biblical example,2.82,HIGH,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/Fusion Title - 8-19-20.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Fusion Title - 8-19-20.pdf,COPIED
GET HAPPY THIS MINUTE!,GHTM - SOS File Stamped - 6-4-19 (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A self-help book focused on finding immediate happiness and joy through practical strategies, mindset shifts, and faith-based principles. The content appears to blend personal development with spiritu",1.47,HIGH,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/Documents/GHTM - SOS File Stamped - 6-4-19 (2019_07_29 16_12_18 UTC).pdf,,DUPLICATE_SKIPPED
Gary's Traffic Ticket,Gary's Traffic Ticket (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A faith-based narrative about a man named Gary who receives a traffic ticket and goes through a transformative experience involving prayer, divine intervention, and ultimately finding redemption and p",16.39,HIGH,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Gary's Traffic Ticket (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Gary's Traffic Ticket (2019_07_29 16_12_18 UTC).pdf,COPIED
Glen Worrell's Driving Record,Glen Worrells Driving Record (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A personal memoir/testimony about Glen Worrell's journey through addiction, multiple DUIs, legal troubles, and eventual redemption through faith and recovery. The book details his spiral into alcoholi",6.24,HIGH,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Delano Folder/Glen Worrells Driving Record (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Glen Worrells Driving Record (2019_07_29 16_12_18 UTC).pdf,COPIED
God Has The Map - Start Over Strong,GHTM - SOS File Stamped - 6-4-19 (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A faith-based recovery and life transformation guide that combines Christian principles with practical advice for starting over after setbacks, focusing on finding direction through God's guidance.",1.47,HIGH,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/GHTM - SOS File Stamped - 6-4-19 (2019_07_29 16_12_18 UTC).pdf,,DUPLICATE_SKIPPED
Going to Hell to Make a Living,GHTM - SOS File Stamped - 6-4-19 (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A book that appears to combine Bob Burr's experiences in recovery, faith, and business, likely exploring the challenges and redemption found in entrepreneurship through a Christian lens. The title sug",1.47,HIGH,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/Desktop/GHTM - SOS File Stamped - 6-4-19 (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/GHTM - SOS File Stamped - 6-4-19 (2019_07_29 16_12_18 UTC).pdf,COPIED
GraceHouse Arrival,GraceHouse Arrival - 11_2018 (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A faith-based recovery narrative that follows the protagonist's journey to GraceHouse, a Christian recovery facility, exploring themes of redemption, spiritual awakening, and second chances through pe",1.1,HIGH,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/GraceHouse Arrival - 11_2018 (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/GraceHouse Arrival - 11_2018 (2019_07_29 16_12_18 UTC).pdf,COPIED
Green Gables' New Beginning,Green Gables' New Beginning.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"This appears to be a book by Bob Burr, though the content sample only shows the title page and copyright information, making it difficult to determine the specific subject matter.",46.2,MEDIUM,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/Green Gables' New Beginning.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Green Gables' New Beginning.pdf,COPIED
It's The Little Things: A Digital Grandpa's Guide to Rebuilding Through Small Wins,ITS-THE-LITTLE-THINGS.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A self-help book about personal rebuilding through small, manageable changes, written from the perspective of a Navy veteran who overcame major life setbacks after 9/11. The book focuses on practical ",6.88,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/ITS-THE-LITTLE-THINGS.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/ITS-THE-LITTLE-THINGS.pdf,COPIED
Kingdom Above the Clouds,Kingdom Above the Clouds.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A Christian faith-based book that appears to explore spiritual themes using the metaphor of a kingdom above the clouds, likely discussing faith, spiritual journey, and God's kingdom.",24.08,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/Kingdom Above the Clouds.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Kingdom Above the Clouds.pdf,COPIED
Live SOTORI,LiveSOTORI W9.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A faith-based recovery book that explores spiritual transformation and redemption through the concept of ""SOTORI"" (likely meaning spiritual enlightenment or awakening), combining recovery principles w",2.17,HIGH,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/LiveSOTORI W9.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/LiveSOTORI W9.pdf,COPIED
Mission Triangle,Mission Triangle (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A faith-based book that explores the intersection of personal mission, spiritual growth, and life purpose through the metaphor of a triangle, combining Christian teachings with practical life applicat",3.2,HIGH,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/MAN Docs Folder/Mission Triangle (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Mission Triangle (2019_07_29 16_12_18 UTC).pdf,COPIED
NC Restoral of Rights,Bob's NC Restoral of Rights  1 (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A book documenting Bob Burr's personal journey through the legal process of restoring his civil rights in North Carolina after his recovery, likely including his testimony and the steps involved in ri",1.17,HIGH,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Bob's  Folder/Bob's NC Restoral of Rights  1 (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Bob's NC Restoral of Rights  1 (2019_07_29 16_12_18 UTC).pdf,COPIED
Navigating the Storm: A Compass for Life's Hardest Passages,Navigating-the-Storm.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A recovery and resilience guide written by Bob Burr for people facing life's hardest challenges, combining personal experience with practical advice for navigating difficult life transitions. The book",29.67,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Navigating-the-Storm.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Navigating-the-Storm.pdf,COPIED
Offer Template,Offer_Template (1) (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,Marketing template/guide,This is a business marketing template created by Bob Burr that teaches coaches and consultants how to structure compelling offers for free consultations that lead to paid coaching programs. The docume,1.38,HIGH,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Bob's  Folder/Legendary Marketing Folder/Offer_Template (1) (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Offer_Template (1) (2019_07_29 16_12_18 UTC).pdf,COPIED
Patsy and Miss Kate's Heart of Gold,Patsy and Miss Kate’s Heart of Gold.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A faith-based children's book or story featuring characters named Patsy and Miss Kate, likely conveying moral lessons about kindness, compassion, and having a ""heart of gold.""",5.48,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/Patsy and Miss Kate’s Heart of Gold.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Patsy and Miss Kate’s Heart of Gold.pdf,COPIED
RISE & RECLAIM Personal Battle Plan Workbook,RISE-and-RECLAIM.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A practical workbook companion to Bob Burr's ""Rise & Reclaim"" guide, designed to help readers rebuild their lives after adversity through exercises focused on resilience, past victories, and personal ",5.88,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Claude ReWritten Files/RISE-and-RECLAIM.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/RISE-and-RECLAIM.pdf,COPIED
RISE & RECLAIM: The Complete Survival Guide - Your Journey From Setback to Comeback,RISE-and-RECLAIM-The-Complete-Survival-Guide-Your-Journey-From-Setback-to-Comeback.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A comprehensive guide about overcoming life's setbacks and rebuilding after major losses, written from Bob Burr's personal experience of losing everything after 9/11 and his journey of recovery and he",12.58,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Bob's SSD Backup/Download Folder iMac/Claude ReWritten Files/RISE-and-RECLAIM-The-Complete-Survival-Guide-Your-Journey-From-Setback-to-Comeback.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/RISE-and-RECLAIM-The-Complete-Survival-Guide-Your-Journey-From-Setback-to-Comeback.pdf,COPIED
Restoration of Rights in North Carolina,Bob's NC Restoral of Rights  2 (2019_07_29 16_12_18 UTC).pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A comprehensive guide for individuals with criminal records seeking to restore their civil rights in North Carolina, including voting rights, firearm rights, and other civil liberties. The book provid",1.08,HIGH,/Volumes/My Passport/FileHistory/bobbu/MAN-OFFICE-PC-D/Data/C/Users/bobbu/iCloudDrive/Desktop/Bob's  Folder/Bob's NC Restoral of Rights  2 (2019_07_29 16_12_18 UTC).pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Bob's NC Restoral of Rights  2 (2019_07_29 16_12_18 UTC).pdf,COPIED
Seegar's Fence Company,Seegar's Fence Company 2.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A narrative that appears to be about entrepreneurship and business development, likely incorporating themes of personal growth and second chances based on Bob Burr's typical writing style and subject ",4.96,MEDIUM,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/Seegar's Fence Company 2.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Seegar's Fence Company 2.pdf,COPIED
Storm Navigators Guide: A Compass for Life's Toughest Transitions,Storm Navigators Guide.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A self-help book focused on helping readers navigate difficult life transitions and personal storms, written in an encouraging, empathetic tone that aligns with Bob Burr's recovery and redemption them",1.07,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Storm Navigators Guide.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Storm Navigators Guide.pdf,COPIED
THE DIGITAL GRANDPA ACTION FRAMEWORK: From Stuck to Moving: A 5-Step System for People Rebuilding Their Lives,THE-DIGITAL-GRANDPA-ACTION-FRAMEWORK.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A practical action framework designed for people rebuilding their lives after major setbacks, including veterans, formerly incarcerated individuals, and failed entrepreneurs. The book presents the WED",3.13,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/THE-DIGITAL-GRANDPA-ACTION-FRAMEWORK.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/THE-DIGITAL-GRANDPA-ACTION-FRAMEWORK.pdf,COPIED
Terry's Son,Terry's Son .pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A faith-based narrative about redemption and second chances, following a story of personal transformation through recovery and faith. The book appears to blend themes of addiction recovery, family rel",1.17,HIGH,/Volumes/Macintosh HD/Users/robertburr/Documents/Documents - Robert’s iMac Pro/Desktop Archive 2-22/(2) Quora_files/Terry's Son .pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/Terry's Son .pdf,COPIED
The Christmas Spirit of the Birds,The Christmas Spirit of the Birds.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A faith-based Christmas story that uses birds as metaphors to explore themes of redemption, hope, and spiritual transformation during the holiday season. The narrative weaves together Christian themes",4.93,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/The Christmas Spirit of the Birds.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/The Christmas Spirit of the Birds.pdf,COPIED
The Hunchback's Christmas Wish,The Hunchback's Christmas Wish.pdf,Bob's Own Works (Confirmed),01_Bobs_Own_Works/Confirmed,BOB_BURR,book,"A faith-based Christmas story about Quasimodo facing discrimination but finding hope, redemption, and acceptance through acts of kindness and faith during the Christmas season.",2.35,HIGH,/Volumes/Macintosh HD/Users/robertburr/Downloads/Desktop Clean Up /Loose Files : Potential Duplicates/The Hunchback's Christmas Wish.pdf,/Users/robertburr/Desktop/Bobs_Book_Library/01_Bobs_Own_Works/Confirmed/The Hunchback's Christmas Wish.pdf,COPIED
